OBJECTID,origin_osmid,dept_time,type,destin_osmid
63212,8398747289,0,local,8398747289
93349,2393115846,0,local,8398747289
8381,3552151798,0,local,8398747289
10111,3552151798,0,local,8398747289
93593,110389269,0,local,8398747289
58853,2006817311,0,local,8398747289
60358,110389263,0,local,8398747289
10837,3552151798,0,local,8398747289
10463,2006817287,0,local,8398747289
94276,2607367913,0,local,8398747289
9792,3552151798,0,local,8398747289
11418,3552151798,0,local,8398747289
93621,110390230,0,local,8398747289
8694,3552151798,0,local,8398747289
10847,3552151798,0,local,8398747289
9594,3552151798,0,local,8398747289
9787,3552151798,0,local,8398747289
10342,2006817287,0,local,8398747289
10380,3552151798,0,local,8398747289
10868,3552151798,0,local,8398747289
11261,3552151798,0,local,8398747289
93102,110405696,0,local,8398747289
9926,3552151798,0,local,8398747289
9237,3552151798,0,local,8398747289
94119,110442476,0,local,8398747289
94058,2506294904,0,local,8398747289
59871,2006817311,0,local,8398747289
8446,3552151798,0,local,8398747289
10555,3552151798,0,local,8398747289
80364,3552151798,0,local,8398747289
93369,110408700,0,local,8398747289
10105,2006817287,0,local,8398747289
10187,3552151798,0,local,8398747289
8357,3552151798,0,local,8398747289
60525,2006817311,0,local,8398747289
9248,3552151798,0,local,8398747289
9903,3552151798,0,local,8398747289
10513,2006817287,0,local,8398747289
93156,110377371,0,local,8398747289
60111,2006817311,0,local,8398747289
8611,3552151798,0,local,8398747289
93060,110421437,0,local,8398747289
93552,110390230,0,local,8398747289
63125,110405674,0,local,8398747289
7668,2006817287,0,local,8398747289
63109,8398747289,0,local,8398747289
8652,3552151798,0,local,8398747289
10002,2006817287,0,local,8398747289
93627,110393307,0,local,8398747289
10109,3552151798,0,local,8398747289
9077,3552151798,0,local,8398747289
51318,3552151798,0,local,8398747289
11227,3552151798,0,local,8398747289
9823,3552151798,0,local,8398747289
9870,3552151798,0,local,8398747289
11069,3552151798,0,local,8398747289
60113,2006817311,0,local,8398747289
59381,2006817311,0,local,8398747289
9824,3552151798,0,local,8398747289
9574,3552151798,0,local,8398747289
9770,3552151798,0,local,8398747289
94158,110416526,0,local,8398747289
11220,3552151798,0,local,8398747289
10840,3552151798,0,local,8398747289
10484,3552151798,0,local,8398747289
64023,8398747289,0,local,8398747289
60089,2006817311,0,local,8398747289
93165,110390211,0,local,8398747289
63332,8398747289,0,local,8398747289
9229,3552151798,0,local,8398747289
93756,110446110,0,local,8398747289
7998,8398747289,0,local,8398747289
9242,3552151798,0,local,8398747289
10622,3552151798,0,local,8398747289
63565,110405674,0,local,8398747289
63464,8398747289,0,local,8398747289
9971,2006817287,0,local,8398747289
9681,3552151798,0,local,8398747289
10849,3552151798,0,local,8398747289
10399,3552151798,0,local,8398747289
16782,3552151798,0,local,8398747289
10743,3552151798,0,local,8398747289
9841,3552151798,0,local,8398747289
63480,8398747289,0,local,8398747289
93107,110405696,0,local,8398747289
93164,2607367918,0,local,8398747289
62938,8398747289,0,local,8398747289
8493,3552151798,0,local,8398747289
95130,2006817311,0,local,8398747289
9496,3552151798,0,local,8398747289
9273,3552151798,0,local,8398747289
95808,3552151798,0,local,8398747289
10400,3552151798,0,local,8398747289
9491,3552151798,0,local,8398747289
63176,8398747289,0,local,8398747289
10687,3552151798,0,local,8398747289
93128,110377366,0,local,8398747289
31615,3552151798,0,local,8398747289
8394,3552151798,0,local,8398747289
62940,110405674,0,local,8398747289
1069,110377371,0,local,8398747289
9619,3552151798,0,local,8398747289
10772,8398747289,0,local,8398747289
93196,110359283,0,local,8398747289
94110,110359283,0,local,8398747289
19804,8398747289,0,local,8398747289
11403,3552151798,0,local,8398747289
8815,3552151798,0,local,8398747289
62922,110405674,0,local,8398747289
9900,3552151798,0,local,8398747289
9597,3552151798,0,local,8398747289
8972,8398747289,0,local,8398747289
11049,3552151798,0,local,8398747289
8879,3552151798,0,local,8398747289
4387,3552151798,0,local,8398747289
10479,3552151798,0,local,8398747289
11152,3552151798,0,local,8398747289
9201,3552151798,0,local,8398747289
8763,3552151798,0,local,8398747289
95660,110393348,0,local,8398747289
9912,3552151798,0,local,8398747289
64021,8398747289,0,local,8398747289
63020,2506294904,0,local,8398747289
10310,3552151798,0,local,8398747289
10529,3552151798,0,local,8398747289
95809,110408705,0,local,8398747289
8505,3552151798,0,local,8398747289
11240,3552151798,0,local,8398747289
9422,3552151798,0,local,8398747289
62985,8398747289,0,local,8398747289
52019,110371884,0,local,8398747289
59773,3552151798,0,local,8398747289
93795,110390211,0,local,8398747289
63037,8398747289,0,local,8398747289
9132,3552151798,0,local,8398747289
63065,8398747289,0,local,8398747289
10348,3552151798,0,local,8398747289
9187,3552151798,0,local,8398747289
63079,8398747289,0,local,8398747289
8949,3552151798,0,local,8398747289
8125,3552151798,0,local,8398747289
12927,3552151798,0,local,8398747289
9208,3552151798,0,local,8398747289
93167,110405674,0,local,8398747289
