Parcel,origin_osmid,dept_time,type,destin_osmid
19314115,110443304,0,local,110397253
19113216,110450448,0,local,110397253
19216230,110383610,0,local,110397253
18810040,110396428,0,local,110397253
19205232,3367883696,0,local,110397253
19003309,110387946,0,local,110397253
19308206,110413465,0,local,110397253
19221217,110392602,0,local,110397253
19211132,110459167,0,local,110397253
19309217,110451170,0,local,110397253
19313335,110421520,0,local,110397253
19006217,110398036,0,local,110397253
19108111,110443480,0,local,110397253
19313306,110421520,0,local,110397253
19004132,110381098,0,local,110397253
19014221,110421909,0,local,110397253
19302049,110367827,0,local,110397253
19307402,110351008,0,local,110397253
19009107,110392830,0,local,110397253
19108121,110443480,0,local,110397253
19023114,110388962,0,local,110397253
19226207,110454526,0,local,110397253
19208115,110419724,0,local,110397253
19204237,110358680,0,local,110397253
19313315,110421540,0,local,110397253
19313314,110414599,0,local,110397253
19126121,110441845,0,local,110397253
19101126,110392622,0,local,110397253
19311111,110394015,0,local,110397253
19308115,2481944221,0,local,110397253
19110204,110412273,0,local,110397253
18815020,110393217,0,local,110397253
19017119,312072227,0,local,110397253
19017119,312072227,0,local,110397253
18817042,110436759,0,local,110397253
19313328,110429434,0,local,110397253
19309219,110394015,0,local,110397253
19205202,110382860,0,local,110397253
19214117,110410673,0,local,110397253
19220215,110383607,0,local,110397253
18815078,110393217,0,local,110397253
19306102,110393241,0,local,110397253
19313314,110414599,0,local,110397253
19203202,110382855,0,local,110397253
19212134,110383610,0,local,110397253
18817053,3387083171,0,local,110397253
19208119,110383612,0,local,110397253
19016109,110460422,0,local,110397253
19302041,110382886,0,local,110397253
19005233,3945189981,0,local,110397253
19007126,110455262,0,local,110397253
19221220,110383331,0,local,110397253
19314224,110366250,0,local,110397253
19005242,3945189981,0,local,110397253
19115215,110348621,0,local,110397253
19212230,110419727,0,local,110397253
18815090,110450104,0,local,110397253
19018127,5071533356,0,local,110397253
19109125,110412273,0,local,110397253
19022221,110392632,0,local,110397253
19121115,110407258,0,local,110397253
19218230,110392600,0,local,110397253
19314117,110443304,0,local,110397253
19210114,110401282,0,local,110397253
19316220,110445895,0,local,110397253
19104134,110422635,0,local,110397253
19307402,110351008,0,local,110397253
19008130,110348362,0,local,110397253
19114217,110348621,0,local,110397253
19203162,3401274918,0,local,110397253
19208234,110419724,0,local,110397253
19220201,110383607,0,local,110397253
19313341,110429434,0,local,110397253
19218125,110392598,0,local,110397253
19115120,110348621,0,local,110397253
19220121,110383331,0,local,110397253
19311213,110386925,0,local,110397253
19218130,110410673,0,local,110397253
19313343,110421520,0,local,110397253
19220121,110383331,0,local,110397253
18814068,110367725,0,local,110397253
19018118,110365447,0,local,110397253
19219120,110392604,0,local,110397253
19008140,312072227,0,local,110397253
19315121,110386925,0,local,110397253
19016223,110447261,0,local,110397253
19529015,110393217,0,local,110397253
19023226,110392630,0,local,110397253
19117208,110392614,0,local,110397253
19314214,1900719912,0,local,110397253
19223211,110460424,0,local,110397253
18815074,110393217,0,local,110397253
18818001,110393217,0,local,110397253
18815064,110437088,0,local,110397253
19006114,110435305,0,local,110397253
18815080,110393217,0,local,110397253
18814012,110437088,0,local,110397253
19210220,110401282,0,local,110397253
19004235,110441915,0,local,110397253
18815058,110450104,0,local,110397253
19110202,110388965,0,local,110397253
19017119,312072227,0,local,110397253
19205228,3367883696,0,local,110397253
19108111,110443480,0,local,110397253
19313341,110429434,0,local,110397253
19218213,110392598,0,local,110397253
19110205,110412273,0,local,110397253
19307201,110393241,0,local,110397253
19309219,110394015,0,local,110397253
19317204,312078495,0,local,110397253
19207123,110401288,0,local,110397253
19206220,110401282,0,local,110397253
19311304,110394015,0,local,110397253
19008122,110412690,0,local,110397253
19120214,110417190,0,local,110397253
