eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
0,0,104,residential,1.0,1900.0,20.0,5.71967345,51.137,"LINESTRING (531200.7819892259 4207305.647532035, 531149.5444833367 4207305.174558495)"
1,0,61,residential,1.0,1900.0,20.0,3.4937466,31.236,"LINESTRING (531200.7819892259 4207305.647532035, 531231.9794961473 4207308.152299841)"
2,1,10,residential,1.0,1900.0,20.0,4.6242145500000005,41.343,"LINESTRING (531303.0006745856 4207213.147607606, 531324.9443083736 4207248.138018048)"
3,1,77,service,1.0,1900.0,20.0,6.94890495,62.127,"LINESTRING (531303.0006745856 4207213.147607606, 531320.0114205268 4207204.491803516, 531323.9571349415 4207191.957986272, 531324.5964907336 4207180.898278879, 531317.4646819783 4207163.539842591)"
4,1,78,residential,1.0,1900.0,20.0,4.8323674,43.20399999999999,"LINESTRING (531303.0006745856 4207213.147607606, 531300.9001966675 4207204.618254644, 531300.8410550634 4207194.854035669, 531303.6373733964 4207182.160467822, 531306.5596343086 4207170.965268979)"
5,1,11,residential,1.0,1900.0,20.0,5.688691,50.86,"LINESTRING (531303.0006745856 4207213.147607606, 531294.7241509662 4207208.156225147, 531281.6952353942 4207201.715334801, 531274.70598715 4207199.835628279, 531255.3832983396 4207202.457851422)"
6,1,11,residential,1.0,1900.0,20.0,6.44065855,57.583,"LINESTRING (531303.0006745856 4207213.147607606, 531296.0642981456 4207218.091784564, 531290.4363042732 4207220.644363699, 531283.2686836198 4207221.793022956, 531276.7315495433 4207221.057877178, 531267.7837445289 4207217.140209558, 531261.1799718292 4207210.879289301, 531255.3832983396 4207202.457851422)"
7,2,15,residential,1.0,1900.0,20.0,24.9935536,223.456,"LINESTRING (532240.008535726 4206385.11093255, 532237.9085272033 4206392.225920851, 532195.645195161 4206414.372188479, 532182.3936028531 4206421.964734968, 532151.4519351952 4206429.498756343, 532142.5829335881 4206443.366447359, 532114.4639214906 4206494.450239322, 532096.7896126596 4206537.331244517)"
8,2,84,residential,1.0,1900.0,20.0,111.9247158,1000.668,"LINESTRING (532240.008535726 4206385.11093255, 532271.7989124699 4206360.593470694, 532285.8246784963 4206334.874170651, 532278.0981491205 4206332.813172531, 532263.8918288812 4206335.342293215, 532249.0147737976 4206352.104245882, 532241.508191386 4206361.050831386, 532228.0070487538 4206360.653599745, 532198.6243458523 4206362.390677623, 532146.5571031831 4206359.311906811, 532134.1667620779 4206342.120700933, 532127.3096544454 4206317.661567435, 532094.8836925826 4206229.158926156, 532060.1603411688 4206204.623717221, 532062.7490688596 4206202.703269959, 532062.931559715 4206191.996887298, 532067.2969700549 4206193.733813845, 532079.0596990996 4206153.969556792, 532079.0676487128 4206149.708939554, 532078.0158939555 4206144.778435198, 532077.2169805667 4206142.53401985, 532075.3068606483 4206139.319938769, 532059.5170088493 4206122.459469793, 532018.4641693297 4206102.093688462, 532015.7751409927 4206080.31390369, 532018.9690184407 4206062.884393862, 532029.6974186017 4206042.832610507, 532043.6592621142 4206019.919804278, 532059.2702616698 4206006.344754334, 532073.5669040575 4206001.063960303, 532079.7284424504 4205990.358863831, 532073.3013662256 4205977.008013065, 532059.0754270599 4205944.120788232, 532056.8429511656 4205922.353881511, 532017.0526374555 4205902.181699917, 531997.8103392372 4205903.604203705, 531977.4468134574 4205895.391528678, 531949.0549882107 4205894.792261386, 531918.5810864327 4205901.252749108, 531903.5255228624 4205878.270786135, 531888.6943326526 4205811.274155212)"
9,2,20,"['track', 'residential']",1.0,1900.0,20.0,29.3510059,262.414,"LINESTRING (532240.008535726 4206385.11093255, 532258.75700339 4206417.317354569, 532274.1537028521 4206457.887642273, 532268.2945479018 4206487.633580162, 532278.6924024398 4206522.370123476, 532283.2503108939 4206528.657062904, 532288.8211939579 4206549.638382438, 532291.2058804942 4206559.345230686, 532299.9285017902 4206591.412276945, 532263.6822565489 4206612.916257893)"
