eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
0,24,96,residential,1,1900.0,25.0,4.584653374926989,51.23662689904994,"LINESTRING (525597.9312512042 4194822.4612954, 525591.6834988936 4194832.726995675, 525589.5098642594 4194836.215183607, 525570.3579779641 4194865.579770695)"
1,96,24,residential,1,1900.0,25.0,4.584653374926989,51.23662689904994,"LINESTRING (525570.3579779641 4194865.579770695, 525589.5098642594 4194836.215183607, 525591.6834988936 4194832.726995675, 525597.9312512042 4194822.4612954)"
2,61,49,residential,1,1900.0,25.0,6.153875232273374,68.77375091946104,"LINESTRING (527525.6739176954 4195644.854284234, 527494.8669843788 4195648.645329486, 527477.5582396582 4195659.027867198, 527467.7777446068 4195673.674014378)"
3,49,61,residential,1,1900.0,25.0,6.153875232273374,68.77375091946104,"LINESTRING (527467.7777446068 4195673.674014378, 527477.5582396582 4195659.027867198, 527494.8669843788 4195648.645329486, 527525.6739176954 4195644.854284234)"
4,49,68,residential,1,1900.0,25.0,5.600743171468914,62.59212306067182,"LINESTRING (527467.7777446068 4195673.674014378, 527464.5232755697 4195676.858523237, 527453.6079973526 4195733.740222355)"
5,68,49,residential,1,1900.0,25.0,5.600743171468914,62.59212306067182,"LINESTRING (527453.6079973526 4195733.740222355, 527464.5232755697 4195676.858523237, 527467.7777446068 4195673.674014378)"
6,62,13,residential,1,1900.0,25.0,13.147938150023762,146.93717199400717,"LINESTRING (526040.7779240627 4195602.557786076, 526029.6125597866 4195594.567103836, 526013.8066575931 4195572.393193524, 526012.6377732543 4195552.906384031, 526006.0763677129 4195526.268283291, 525995.0186621788 4195506.461646973, 525965.7861887694 4195485.077417442)"
7,13,62,residential,1,1900.0,25.0,13.147938150023762,146.93717199400717,"LINESTRING (525965.7861887694 4195485.077417442, 525995.0186621788 4195506.461646973, 526006.0763677129 4195526.268283291, 526012.6377732543 4195552.906384031, 526013.8066575931 4195572.393193524, 526029.6125597866 4195594.567103836, 526040.7779240627 4195602.557786076)"
8,109,188,residential,1,1900.0,25.0,1.000502267476249,11.181294898035862,"LINESTRING (525621.9181879358 4194559.747764911, 525627.3293939326 4194549.978757756)"
9,188,109,residential,1,1900.0,25.0,1.000502267476249,11.181294898035862,"LINESTRING (525627.3293939326 4194549.978757756, 525621.9181879358 4194559.747764911)"
10,245,248,unclassified,1,1900.0,25.0,16.15071058213328,180.4952009625981,"LINESTRING (526594.0446427882 4198606.20426442, 526585.4396035401 4198604.101532461, 526430.2484440019 4198566.541415908, 526418.4043957943 4198563.285605125)"
11,248,245,unclassified,1,1900.0,25.0,16.15071058213328,180.4952009625981,"LINESTRING (526418.4043957943 4198563.285605125, 526430.2484440019 4198566.541415908, 526585.4396035401 4198604.101532461, 526594.0446427882 4198606.20426442)"
12,22,31,residential,1,1900.0,25.0,49.65063469567664,554.8796903852999,"LINESTRING (527074.7540003582 4196505.537094267, 526944.188959153 4196454.790249133, 526908.0389402825 4196435.143988895, 526902.7576247413 4196410.606300873, 526896.0476769276 4196392.83199145, 526864.594325742 4196388.301880445, 526813.0058888943 4196358.719661287, 526784.4187298112 4196335.115523654, 526748.1522451148 4196340.100897677, 526715.1300594629 4196344.86400479, 526682.9837451772 4196337.103637636, 526657.5451798635 4196320.932869756, 526624.1324865667 4196297.08060821, 526599.0297971074 4196285.68204186)"
13,31,22,residential,1,1900.0,25.0,49.650634695676644,554.8796903853,"LINESTRING (526599.0297971074 4196285.68204186, 526624.1324865667 4196297.08060821, 526657.5451798635 4196320.932869756, 526682.9837451772 4196337.103637636, 526715.1300594629 4196344.86400479, 526748.1522451148 4196340.100897677, 526784.4187298112 4196335.115523654, 526813.0058888943 4196358.719661287, 526864.594325742 4196388.301880445, 526896.0476769276 4196392.83199145, 526902.7576247413 4196410.606300873, 526908.0389402825 4196435.143988895, 526944.188959153 4196454.790249133, 527074.7540003582 4196505.537094267)"
14,230,232,residential,1,1900.0,25.0,8.640117551490954,96.55920374934011,"LINESTRING (526954.7515196675 4195052.339736268, 526942.607764488 4195087.959675911, 526946.3414543907 4195099.466530072, 526986.1471052051 4195124.040063869)"
15,232,230,residential,1,1900.0,25.0,8.640117551490954,96.55920374934011,"LINESTRING (526986.1471052051 4195124.040063869, 526946.3414543907 4195099.466530072, 526942.607764488 4195087.959675911, 526954.7515196675 4195052.339736268)"
16,14,15,residential,1,1900.0,25.0,17.395834218234505,194.41030641746207,"LINESTRING (525780.1719918576 4194954.465236058, 525667.4703556043 4195112.683585661)"
17,15,14,residential,1,1900.0,25.0,17.395834218234505,194.41030641746207,"LINESTRING (525667.4703556043 4195112.683585661, 525780.1719918576 4194954.465236058)"
18,214,85,residential,1,1900.0,25.0,11.264962035484032,125.8936302579798,"LINESTRING (526191.6942150644 4195642.592717248, 526203.18451228 4195628.61623754, 526229.6982611361 4195592.697205945, 526268.2829624625 4195542.803731651)"
19,85,214,residential,1,1900.0,25.0,11.264962035484032,125.8936302579798,"LINESTRING (526268.2829624625 4195542.803731651, 526229.6982611361 4195592.697205945, 526203.18451228 4195628.61623754, 526191.6942150644 4195642.592717248)"
20,85,88,residential,1,1900.0,25.0,34.99258844024646,391.06603084763583,"LINESTRING (526268.2829624625 4195542.803731651, 526496.5530247175 4195225.65070921)"
21,88,85,residential,1,1900.0,25.0,34.99258844024646,391.06603084763583,"LINESTRING (526496.5530247175 4195225.65070921, 526268.2829624625 4195542.803731651)"
22,88,91,residential,1,1900.0,25.0,17.575570176731638,196.4189782826513,"LINESTRING (526496.5530247175 4195225.65070921, 526610.6192262496 4195065.939116978)"
23,91,88,residential,1,1900.0,25.0,17.575570176731638,196.4189782826513,"LINESTRING (526610.6192262496 4195065.939116978, 526496.5530247175 4195225.65070921)"
24,91,92,residential,1,1900.0,25.0,18.14897924668822,202.82721554188893,"LINESTRING (526610.6192262496 4195065.939116978, 526665.1217712158 4194986.164451966, 526722.4868660837 4194897.001881888)"
25,92,91,residential,1,1900.0,25.0,18.14897924668822,202.82721554188893,"LINESTRING (526722.4868660837 4194897.001881888, 526665.1217712158 4194986.164451966, 526610.6192262496 4195065.939116978)"
26,159,252,residential,1,1900.0,25.0,12.76733200359777,142.68363884217445,"LINESTRING (526630.9258561666 4194904.026852644, 526601.8659960732 4194951.208994186, 526550.1029151151 4195021.317965269)"
27,252,159,residential,1,1900.0,25.0,12.76733200359777,142.68363884217445,"LINESTRING (526550.1029151151 4195021.317965269, 526601.8659960732 4194951.208994186, 526630.9258561666 4194904.026852644)"
28,252,253,residential,1,1900.0,25.0,17.838271664883578,199.35484650071052,"LINESTRING (526550.1029151151 4195021.317965269, 526435.1135240971 4195183.967625307)"
29,253,252,residential,1,1900.0,25.0,17.838271664883578,199.35484650071052,"LINESTRING (526435.1135240971 4195183.967625307, 526550.1029151151 4195021.317965269)"
30,253,254,residential,1,1900.0,25.0,34.73800718165509,388.2209117306112,"LINESTRING (526435.1135240971 4195183.967625307, 526209.8467606906 4195499.767224109)"
31,254,253,residential,1,1900.0,25.0,34.73800718165509,388.2209117306112,"LINESTRING (526209.8467606906 4195499.767224109, 526435.1135240971 4195183.967625307)"
32,254,207,residential,1,1900.0,25.0,20.821656478919156,232.6962056204644,"LINESTRING (526209.8467606906 4195499.767224109, 526120.5887408392 4195622.25036509, 526077.822552252 4195690.970818485)"
33,207,254,residential,1,1900.0,25.0,20.821656478919156,232.6962056204644,"LINESTRING (526077.822552252 4195690.970818485, 526120.5887408392 4195622.25036509, 526209.8467606906 4195499.767224109)"
34,239,241,residential,1,1900.0,25.0,4.889029570006229,54.63823837736062,"LINESTRING (531484.5013606215 4194918.261650362, 531460.0720118349 4194869.47104541)"
35,241,239,residential,1,1900.0,25.0,4.889029570006229,54.63823837736062,"LINESTRING (531460.0720118349 4194869.47104541, 531484.5013606215 4194918.261650362)"
36,100,102,residential,1,1900.0,25.0,7.122584377211406,79.59973599923342,"LINESTRING (525486.529881806 4194978.700116256, 525530.8971477012 4194917.692771859, 525533.4566976394 4194914.483148381)"
37,102,100,residential,1,1900.0,25.0,7.122584377211406,79.59973599923342,"LINESTRING (525533.4566976394 4194914.483148381, 525530.8971477012 4194917.692771859, 525486.529881806 4194978.700116256)"
38,24,105,residential,1,1900.0,25.0,4.188555199729438,46.809959764522105,"LINESTRING (525597.9312512042 4194822.4612954, 525559.5425522759 4194795.624461642)"
39,105,24,residential,1,1900.0,25.0,4.188555199729438,46.809959764522105,"LINESTRING (525559.5425522759 4194795.624461642, 525597.9312512042 4194822.4612954)"
40,105,139,residential,1,1900.0,25.0,2.792945571981147,31.21307076420593,"LINESTRING (525559.5425522759 4194795.624461642, 525547.2813732069 4194788.940268354, 525543.2311534142 4194785.232970419, 525539.4238051169 4194774.114875615)"
41,139,105,residential,1,1900.0,25.0,2.792945571981147,31.21307076420593,"LINESTRING (525539.4238051169 4194774.114875615, 525543.2311534142 4194785.232970419, 525547.2813732069 4194788.940268354, 525559.5425522759 4194795.624461642)"
42,89,90,residential,1,1900.0,25.0,6.8684658745523715,76.75978849522096,"LINESTRING (525808.9932039165 4194548.640025446, 525853.8525523104 4194486.4266157)"
43,90,89,residential,1,1900.0,25.0,6.8684658745523715,76.75978849522096,"LINESTRING (525853.8525523104 4194486.4266157, 525808.9932039165 4194548.640025446)"
44,90,95,residential,1,1900.0,25.0,15.082141432459988,168.55321225368783,"LINESTRING (525853.8525523104 4194486.4266157, 525949.043920642 4194347.505406532)"
45,95,90,residential,1,1900.0,25.0,15.082141432459988,168.55321225368783,"LINESTRING (525949.043920642 4194347.505406532, 525853.8525523104 4194486.4266157)"
46,95,94,residential,1,1900.0,25.0,11.238397827458584,125.59675712403424,"LINESTRING (525949.043920642 4194347.505406532, 526020.5000249636 4194244.34727639)"
47,94,95,residential,1,1900.0,25.0,11.238397827458584,125.59675712403424,"LINESTRING (526020.5000249636 4194244.34727639, 525949.043920642 4194347.505406532)"
48,124,127,residential,1,1900.0,25.0,6.772610906544299,75.68854388180934,"LINESTRING (526792.7160812285 4195192.340044332, 526730.9683877713 4195148.4901739)"
49,127,124,residential,1,1900.0,25.0,6.772610906544299,75.68854388180934,"LINESTRING (526730.9683877713 4195148.4901739, 526792.7160812285 4195192.340044332)"
50,127,128,residential,1,1900.0,25.0,6.528322014812119,72.95844898091326,"LINESTRING (526730.9683877713 4195148.4901739, 526671.2889305081 4195106.444918009)"
51,128,127,residential,1,1900.0,25.0,6.528322014812119,72.95844898091326,"LINESTRING (526671.2889305081 4195106.444918009, 526730.9683877713 4195148.4901739)"
52,128,91,residential,1,1900.0,25.0,6.522838894710217,72.8971713758406,"LINESTRING (526671.2889305081 4195106.444918009, 526610.6192262496 4195065.939116978)"
53,91,128,residential,1,1900.0,25.0,6.522838894710217,72.8971713758406,"LINESTRING (526610.6192262496 4195065.939116978, 526671.2889305081 4195106.444918009)"
54,91,252,residential,1,1900.0,25.0,6.724313321520538,75.14878544390409,"LINESTRING (526610.6192262496 4195065.939116978, 526550.1029151151 4195021.317965269)"
55,252,91,residential,1,1900.0,25.0,6.724313321520538,75.14878544390409,"LINESTRING (526550.1029151151 4195021.317965269, 526610.6192262496 4195065.939116978)"
56,252,129,residential,1,1900.0,25.0,6.086906638322341,68.02533122845709,"LINESTRING (526550.1029151151 4195021.317965269, 526495.8781739247 4194980.190375769)"
57,129,252,residential,1,1900.0,25.0,6.086906638322341,68.02533122845709,"LINESTRING (526495.8781739247 4194980.190375769, 526550.1029151151 4195021.317965269)"
58,129,130,residential,1,1900.0,25.0,6.78000303771535,75.77115598698424,"LINESTRING (526495.8781739247 4194980.190375769, 526433.5890123969 4194936.962360268)"
59,130,129,residential,1,1900.0,25.0,6.78000303771535,75.77115598698424,"LINESTRING (526433.5890123969 4194936.962360268, 526495.8781739247 4194980.190375769)"
60,130,162,residential,1,1900.0,25.0,6.8935619806096575,77.04025458884284,"LINESTRING (526433.5890123969 4194936.962360268, 526371.3945322059 4194891.427338132)"
61,162,130,residential,1,1900.0,25.0,6.8935619806096575,77.04025458884284,"LINESTRING (526371.3945322059 4194891.427338132, 526433.5890123969 4194936.962360268)"
